concept_id,gene_name
hgnc:20372,NDUFB11
hgnc:21034,NDUFAF4
hgnc:7701,NDUFB6
hgnc:7702,NDUFB7
hgnc:7700,NDUFB5
hgnc:7458,MT-ND3
hgnc:7694,NDUFAB1
hgnc:7705,NDUFC1
hgnc:7685,NDUFA2
hgnc:7714,NDUFS7
hgnc:7696,NDUFB10
hgnc:7717,NDUFV2
hgnc:7707,NDUFS1
hgnc:7719,NDUFV3
hgnc:28086,NDUFAF2
hgnc:17194,NDUFA13
hgnc:18828,NDUFAF1
hgnc:7704,NDUFB9
hgnc:8790,PDE6H
hgnc:8777,PDE2A
hgnc:8795,PDE9A
hgnc:8788,PDE6D
hgnc:21160,LINC00473
hgnc:8774,PDE1A
hgnc:8785,PDE6A
hgnc:8794,PDE8B
hgnc:8775,PDE1B
hgnc:8776,PDE1C
hgnc:9596,PTGER4
hgnc:4088,GABRG3
hgnc:805,ATP1B2
hgnc:4087,GABRG2
hgnc:14454,GABRQ
hgnc:4077,GABRA3
hgnc:4076,GABRA2
hgnc:4080,GABRA6
hgnc:4037,FYN
hgnc:1057,BLK
hgnc:11284,SRD5A1
hgnc:25812,SRD5A3
hgnc:804,ATP1B1
hgnc:800,ATP1A2
hgnc:806,ATP1B3
hgnc:14073,ATP1A4
hgnc:4075,GABRA1
hgnc:4082,GABRB2
hgnc:4084,GABRD
hgnc:4086,GABRG1
hgnc:4085,GABRE
hgnc:4079,GABRA5
hgnc:10616,CCL18
hgnc:14490,MRPL36
hgnc:39031,ERVK-20
hgnc:2707,ACE
hgnc:2323,CPS1
hgnc:6502,RPSA
hgnc:14786,OR56A3
hgnc:2435,CSF2RA
hgnc:5439,IFNGR1
hgnc:6019,IL6R
hgnc:3169,S1PR2
hgnc:3165,S1PR1
hgnc:14106,POLD4
hgnc:6009,IL2RB
hgnc:1674,CD3E
hgnc:1673,CD3D
hgnc:2436,CSF2RB
hgnc:5433,IFNAR2
hgnc:5970,IL12B
hgnc:5969,IL12A
hgnc:15488,IL23A
hgnc:14299,S1PR5
hgnc:3170,S1PR4
hgnc:9173,POLA1
hgnc:9176,POLD2
hgnc:9370,PRIM2
hgnc:1399,CACNA2D1
hgnc:15460,CACNA2D3
hgnc:1388,CACNA1A
hgnc:1403,CACNB3
hgnc:20932,POLD3
hgnc:30073,POLA2
hgnc:9369,PRIM1
hgnc:13546,POLE3
hgnc:1400,CACNA2D2
hgnc:1394,CACNA1G
hgnc:1396,CACNA1I
hgnc:1392,CACNA1E
hgnc:1402,CACNB2
hgnc:13628,CACNG8
hgnc:1407,CACNG3
hgnc:6273,KCNK10
hgnc:19439,KCNK18
hgnc:10594,SCN7A
hgnc:10596,SCN8A
hgnc:1409,CACNG5
hgnc:1408,CACNG4
hgnc:8101,OCA2
hgnc:10585,SCN1A
hgnc:10588,SCN2A
hgnc:10583,SCN11A
hgnc:3662,FGB
hgnc:3694,FGG
hgnc:6220,KCNA2
hgnc:6296,KCNQ2
hgnc:6226,KCNA7
hgnc:6222,KCNA4
hgnc:6225,KCNA6
